avg,max,min,stdev,vertices,density
0.973481,1.115694,0.812836,0.125812,20,10
0.957451,1.000217,0.921102,0.032616,20,20
1.373001,2.273119,0.918465,0.546321,20,30
0.889995,0.91977,0.847831,0.028628,20,40
1.012216,1.515428,0.852844,0.283805,20,50
2.740156,3.323895,2.159136,0.485782,30,10
2.401592,2.623231,2.28074,0.145434,30,20
1.867616,2.613747,1.65759,0.417438,30,30
1.620713,1.683894,1.56607,0.046411,30,40
1.741205,2.090916,1.564112,0.233897,30,50
7.563334,7.82621,7.381816,0.19532,40,10
6.975324,7.159442,6.825918,0.157926,40,20
6.656179,7.524999,6.140502,0.558569,40,30
4.029158,4.949535,3.670504,0.524657,40,40
3.593435,3.763691,3.509952,0.10087,40,50
9.060149,11.11491,8.085257,1.238113,50,10
7.676349,8.20631,7.442222,0.312573,50,20
7.507575,7.645074,7.408324,0.089079,50,30
7.340802,8.03761,7.067108,0.397415,50,40
6.568746,6.739133,6.315995,0.156982,50,50
12.988378,13.355645,12.659453,0.272404,60,10
12.491507,14.052953,11.389716,1.154082,60,20
11.306231,11.524654,10.927872,0.279835,60,30
11.266633,11.64977,10.677743,0.360452,60,40
10.968433,11.286143,10.60132,0.298219,60,50
22.874332,31.250717,19.935876,4.71281,70,10
20.941548,26.210057,18.643921,3.014191,70,20
21.894846,30.197439,17.500611,5.789249,70,30
17.86447,18.558758,17.376987,0.453085,70,40
17.538179,17.827145,17.193285,0.282245,70,50
28.979714,29.286688,28.614803,0.274265,80,10
27.457777,28.100483,26.956348,0.436299,80,20
26.422627,26.519163,26.294172,0.083635,80,30
27.84602,29.247918,25.92555,1.266719,80,40
26.67092,27.805628,26.183599,0.682795,80,50
40.968544,42.154697,40.293288,0.714589,90,10
44.724771,61.875416,38.041253,10.002427,90,20
37.606227,38.46766,36.948183,0.588566,90,30
37.668018,38.517263,37.152872,0.580988,90,40
36.393712,36.723143,36.082812,0.245617,90,50
54.638576,55.936432,53.726073,0.808753,100,10
51.510901,51.842207,51.247303,0.225188,100,20
50.774254,51.291945,50.217714,0.380702,100,30
50.370978,51.235538,49.74847,0.553085,100,40
50.182272,50.929035,49.443907,0.626999,100,50
73.014399,74.893865,71.304537,1.343536,110,10
69.06441,69.971136,68.686084,0.541117,110,20
68.705166,71.192406,66.926606,1.69218,110,30
67.18066,68.470906,66.409197,0.836586,110,40
66.592205,67.729228,66.062578,0.685203,110,50
95.006788,98.149295,93.328574,1.883901,120,10
89.330244,89.973075,88.752532,0.523059,120,20
87.769569,90.949724,86.128818,1.903022,120,30
86.785008,87.996151,85.434013,1.155069,120,40
86.852074,93.756985,84.160595,3.912765,120,50
117.9024,119.581603,116.201636,1.228417,130,10
112.629682,115.050746,111.306331,1.599453,130,20
113.13224,122.87453,110.027958,5.465198,130,30
111.395275,113.66247,109.884043,1.884448,130,40
109.163378,110.074176,108.598819,0.552163,130,50
146.234037,150.597582,142.676589,3.180008,140,10
142.376142,147.514114,138.948108,3.935232,140,20
137.726068,139.317955,136.598816,1.222177,140,30
136.15867,137.23991,135.390773,0.834976,140,40
134.539451,136.021023,133.829256,0.883216,140,50
180.515392,198.650555,175.054295,10.159592,150,10
171.220999,175.560967,169.712004,2.450321,150,20
171.024747,187.55069,166.182895,9.293268,150,30
166.13761,167.492889,164.560357,1.196522,150,40
166.400356,166.969477,165.68815,0.615666,150,50
216.682031,220.388589,215.599537,2.074534,160,10
207.685863,210.272489,205.988397,1.673519,160,20
205.979435,208.239799,203.507767,2.241361,160,30
202.555822,204.193099,200.918386,1.228417,160,40
201.235582,203.010337,200.503648,1.007738,160,50
259.603709,266.982909,254.761581,4.525643,170,10
245.987589,247.228128,244.947059,0.923611,170,20
247.4962,253.855903,242.851394,4.518744,170,30
252.163596,287.383445,242.185761,19.712184,170,40
246.446273,254.963361,241.529142,5.991575,170,50
304.241058,306.401368,299.703084,2.697728,180,10
293.189724,294.710546,290.567481,1.652468,180,20
291.011615,294.979582,289.006654,2.302877,180,30
289.944248,296.015646,287.416859,3.497269,180,40
292.152583,311.186055,285.663967,10.720687,180,50
357.666279,363.319162,354.292907,3.952846,190,10
347.22063,353.189418,342.776629,3.9696,190,20
340.334273,343.343593,339.096162,1.719058,190,30
338.528169,339.799477,337.704114,0.814472,190,40
339.075598,349.927149,334.149188,6.256579,190,50
423.09569,446.898174,410.197043,14.821522,200,10
407.197526,416.693107,400.221217,7.25149,200,20
399.075926,407.40409,396.162564,4.71268,200,30
395.910483,401.803159,391.547239,4.238358,200,40
397.78252,410.19946,392.241581,7.553212,200,50
